³¯Â¥,¾÷ºñÆ®KRW,¾÷ºñÆ®XRP,ºø½æKRW,ºø½æXRP,ÃÑXRP,ÃÑKRW
2023-10-30 10,4391711,200,2763940,6200,6400,7155652
2023-10-30 10,4467073,100,2688620,6300,6400,7155694
2023-10-30 11,4467073,100,2688620,6300,6400,7155694
2023-10-30 12,4467073,100,2688620,6300,6400,7155694
2023-10-30 12,4466371,100,2688580,6300,6400,7154952
2023-10-30 12,4539628,0,2612960,6400,6400,7152589
2023-10-30 13,4539628,0,2612960,6400,6400,7152589
2023-10-30 14,4539628,0,2612960,6400,6400,7152589
2023-10-30 15,4539628,0,2612960,6400,6400,7152589
2023-10-30 15,4464691,99,2687880,6300,6399,7152572
2023-10-30 16,4464691,99,2687880,6300,6399,7152572
2023-10-30 17,4464691,99,2687880,6300,6399,7152572
2023-10-30 17,4463990,99,2762920,6200,6299,7226911
2023-10-30 17,4161889,500,2612751,6400,6900,6774640
2023-10-30 17,4461263,100,1936491,7300,7400,6397754
2023-10-30 17,4235550,400,1936491,7300,7700,6172042
2023-10-30 17,4310713,300,1861301,7400,7700,6172014
2023-10-30 17,4461362,100,1634921,7700,7800,6096283
2023-10-30 17,4532367,0,203891,9600,9600,4736258
2023-10-30 17,3777990,1000,7358261,100,1100,11136251
2023-10-30 18,3777990,1000,7358261,100,1100,11136251
2023-10-30 18,3928715,800,7207481,300,1100,11136196
2023-10-30 18,4531613,0,6604351,1100,1100,11135964
2023-10-30 18,528112,5300,6604351,1100,6400,7132464
2023-10-30 18,603575,5200,6528941,1200,6400,7132516
2023-10-30 18,1282735,4300,5850101,2100,6400,7132836
2023-10-30 18,1358197,4200,5774701,2200,6400,7132898
2023-10-30 18,2339206,2900,4794161,3500,6400,7133368
2023-10-30 18,3169291,1800,3964431,4600,6400,7133722
2023-10-30 18,3546602,1300,3587231,5100,6400,7133834
2023-10-30 18,4454548,100,2679641,6300,6400,7134190
2023-10-30 18,4530510,0,2603651,6400,6400,7134162
2023-10-30 18,1579510,0,2603651,6400,6400,4183162
2023-10-30 18,1579510,0,5553651,6400,6400,7133162
2023-10-30 18,4466066,100,2668491,6299,6399,7134558
2023-10-30 19,4542028,0,2592571,6399,6399,7134600
2023-10-30 19,4466190,100,2668391,6299,6399,7134582
2023-10-30 19,4541752,0,2592841,6399,6399,7134594
2023-10-30 19,40752,0,2592841,6399,6399,2633594
2023-10-30 20,40752,0,7092842,6399,6399,7133595
2023-10-30 20,647649,5100,6486192,1298,6398,7133841
2023-10-30 20,798973,4900,6334922,1498,6398,7133896
2023-10-30 20,874635,4800,6259282,1598,6398,7133918
2023-10-30 20,1101622,4500,6032392,1898,6398,7134014
2023-10-30 20,2009567,3300,5124832,3098,6398,7134400
2023-10-30 20,2766189,2300,4368532,4098,6398,7134721
2023-10-30 20,3749797,1000,3385342,5398,6398,7135139
2023-10-30 20,4506418,0,2629042,6398,6398,7135461
2023-10-30 21,4506418,0,2629042,6398,6398,7135461
2023-10-30 22,4506418,0,2629042,6398,6398,7135461
2023-10-30 23,4506418,0,2629042,6398,6398,7135461
2023-10-30 23,4425569,100,2708802,6298,6398,7134372
2023-10-30 23,4504030,0,2630352,6398,6398,7134383
2023-10-31 00,4504030,0,2630352,6398,6398,7134383
2023-10-31 01,4504030,0,2630352,6398,6398,7134383
2023-10-31 02,4504030,0,2630352,6398,6398,7134383
2023-10-31 02,4426011,98,2709742,6298,6396,7135754
2023-10-31 02,3643620,1097,3492142,5298,6395,7135763
2023-10-31 03,3643620,1097,3492142,5298,6395,7135763
2023-10-31 03,3879103,797,3256782,5598,6395,7135885
2023-10-31 03,4428328,97,2707922,6298,6395,7136250
2023-10-31 04,4428328,97,2707922,6298,6395,7136250
2023-10-31 05,4428328,97,2707922,6298,6395,7136250
2023-10-31 05,491360,5097,7433622,298,5395,7924983
2023-10-31 06,491360,5097,7433622,298,5395,7924983
2023-10-31 06,570021,4997,7354992,398,5395,7925014
2023-10-31 06,648582,4897,7276472,498,5395,7925054
2023-10-31 06,727142,4797,7197942,598,5395,7925085
2023-10-31 06,884064,4597,7041092,798,5395,7925156
2023-10-31 06,1354828,3997,6570612,1398,5395,7925441
2023-10-31 06,2217897,2897,5708062,2498,5395,7925959
2023-10-31 07,2217897,2897,5708062,2498,5395,7925959
2023-10-31 07,648112,4896,7277262,498,5394,7925375
2023-10-31 08,648112,4896,7277262,498,5394,7925375
2023-10-31 08,648112,4896,6877524,1008,5904,7525637
2023-10-31 08,334355,5296,6877524,1008,6304,7211880
2023-10-31 09,334355,5296,6877524,1008,6304,7211880
2023-10-31 09,412616,5196,6799284,1108,6304,7211901
2023-10-31 09,569138,4996,6642844,1308,6304,7211982
2023-10-31 09,647399,4896,6564624,1408,6304,7212023
2023-10-31 09,804520,4696,6407564,1608,6304,7212085
2023-10-31 09,961542,4496,6250544,1808,6304,7212086
2023-10-31 09,1354345,3996,5857954,2308,6304,7212300
2023-10-31 09,1825709,3396,5386764,2908,6304,7212474
2023-10-31 09,1904270,3296,5308234,3008,6304,7212505
2023-10-31 09,2296974,2796,4915704,3508,6304,7212678
2023-10-31 09,2532556,2496,4680224,3808,6304,7212780
2023-10-31 09,3475284,1296,3738174,5008,6304,7213459
2023-10-31 10,4418013,96,2795994,6208,6304,7214007
2023-10-31 10,4417834,96,2717674,6308,6404,7135509
2023-10-31 11,4417834,96,2717674,6308,6404,7135509
2023-10-31 12,4417834,96,2717674,6308,6404,7135509
2023-10-31 13,4417834,96,2717674,6308,6404,7135509
2023-10-31 14,4417834,96,2717674,6308,6404,7135509
2023-10-31 15,4417834,96,2717674,6308,6404,7135509
2023-10-31 16,4417834,96,2717674,6308,6404,7135509
2023-10-31 16,3645448,1094,3490074,5308,6402,7135523
